No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
1,BROWN RICE.,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE..
2,GRIILLED CHICKEN.,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu GRIILLED CHICKEN..
3,SMOKED BEEF | 100%,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SMOKED BEEF | 100%.
4,"Sei Sapi,",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sei Sapi,."
5,"Brown Rice,",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Brown Rice,."
6,JAPANESE GYUDON WITH BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu JAPANESE GYUDON WITH BROWN RICE.
7,Ordered: Grilled Chicken with Potatoes,Ayam,0,Kentang,Sayur / Lauk Tambahan,Menu Ordered: Grilled Chicken with Potatoes.
8,"Ordered: Grilled Chicken with Potatoes, Sei Ayam with",Ayam,0,Kentang,Sayur / Lauk Tambahan,"Menu Ordered: Grilled Chicken with Potatoes, Sei Ayam with."
9,Super duper terbaik memang sei sapi nya,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Super duper terbaik memang sei sapi nya.
10,"Ordered: Sei Sapi with Potatoes x2, Sei Sapi Sambal Luat with",Sapi,0,Kentang,Sayur / Lauk Tambahan,"Menu Ordered: Sei Sapi with Potatoes x2, Sei Sapi Sambal Luat with."
11,"Ordered: Sei Sapi Sambal Luat with Potatoes, Grilled Chicken",Ayam,0,Kentang,Sayur / Lauk Tambahan,"Menu Ordered: Sei Sapi Sambal Luat with Potatoes, Grilled Chicken."
12,"with Potatoes, Sei Sapi with Potatoes",Sapi,0,Kentang,Sayur / Lauk Tambahan,"Menu with Potatoes, Sei Sapi with Potatoes."
13,Enak banget seinyaa apalagi ayam penyet sama,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Enak banget seinyaa apalagi ayam penyet sama.
14,"Ordered: Ayam Penyet with Brown Rice, Sei Sapi Sar",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Ordered: Ayam Penyet with Brown Rice, Sei Sapi Sar."
15,with Brown Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with Brown Rice.
16,Ordered: Ayam Penyet with Brown Rice,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ordered: Ayam Penyet with Brown Rice.
17,CHICKEN,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu CHICKEN.
18,Roasted chicken is chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Roasted chicken is chicken.
19,chicken is roasted with its own,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu chicken is roasted with its own.
20,ADALAH IKAN DORI,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ADALAH IKAN DORI.
21,yang sudah telanjur tersebar di masyarakat tentang ikan dori.,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu yang sudah telanjur tersebar di masyarakat tentang ikan dori..
22,"Pertama, banyak dari kita yang pasti mengira bahwa ikan dori",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Pertama, banyak dari kita yang pasti mengira bahwa ikan dori."
23,adalah daging dari ikan jenis blue tang yang muncul di film,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu adalah daging dari ikan jenis blue tang yang muncul di film.
24,"“Finding Nemo”. Padahal, “ikan dori” sebenarnya adalah merk",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu “Finding Nemo”. Padahal, “ikan dori” sebenarnya adalah merk."
25,dagang produsen ikan yang sering dikonsumsi oleh masyarakat.,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu dagang produsen ikan yang sering dikonsumsi oleh masyarakat..
26,"Kedua, ikan dori dalam film “Finding Nemo” tidak dapat",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Kedua, ikan dori dalam film “Finding Nemo” tidak dapat."
27,"tubuh bila dikonsumsi. Ketiga, jenis ikan yang selama ini kita",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu tubuh bila dikonsumsi. Ketiga, jenis ikan yang selama ini kita."
28,kenal dan dipasarkan secara lokal sebagai ikan dori sebenarnya,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu kenal dan dipasarkan secara lokal sebagai ikan dori sebenarnya.
29,"adalah ikan dori patin atau ikan patin , yang nilai gizinya",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu adalah ikan dori patin atau ikan patin , yang nilai gizinya."
30,Ikan “dori” patin merupakan sumber nutrisi yang baik dengan,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ikan “dori” patin merupakan sumber nutrisi yang baik dengan.
31,"kandungan yang beragam. Ikan ini kaya akan protein, nutrisi",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu kandungan yang beragam. Ikan ini kaya akan protein, nutrisi."
32,"itu, ikan dori patin juga mengandung asam lemak omega-3,",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu itu, ikan dori patin juga mengandung asam lemak omega-3,."
33,Vitamin B12 yang terdapat dalam ikan ini berperan penting,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Vitamin B12 yang terdapat dalam ikan ini berperan penting.
34,Kandungan mineral seperti selenium dan fosfor dalam ikan dori,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Kandungan mineral seperti selenium dan fosfor dalam ikan dori.
35,"tulang dan gigi. Ikan ini juga bisa menyediakan vitamin D, yang",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu tulang dan gigi. Ikan ini juga bisa menyediakan vitamin D, yang."
36,GRILLED CHICKEN SEI SAPI AYAM PENYET,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu GRILLED CHICKEN SEI SAPI AYAM PENYET.
37,with BROWN RICE with LEMONILO with BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with BROWN RICE with LEMONILO with BROWN RICE.
38,"Grilled Chicken with Brown RicesMi Sei Sapi with Lemonilo, Mix Vegetables, and Ayam Penyet with Brown Rice, Mix Vegetables,",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Chicken with Brown RicesMi Sei Sapi with Lemonilo, Mix Vegetables, and Ayam Penyet with Brown Rice, Mix Vegetables,."
39,ws Spesial\ Hari) Gizi|Nasiongy,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ws Spesial\ Hari) Gizi|Nasiongy.
