user_id,precision,recall,f1_score,tp,fp,fn,relevant_count,recommended_count
1,0.4,0.4,0.4000000000000001,2,3,3,5,5
2,0.8,0.8,0.8000000000000002,4,1,1,5,5
3,0.5,0.4,0.4444444444444445,2,2,3,5,4
4,1.0,0.8,0.888888888888889,4,0,1,5,4
5,0.4,0.4,0.4000000000000001,2,3,3,5,5
6,1.0,1.0,1.0,4,0,0,4,4
7,0.8,0.8,0.8000000000000002,4,1,1,5,5
8,0.4,0.5,0.4444444444444445,2,3,2,4,5
9,0.6,0.75,0.6666666666666665,3,2,1,4,5
10,1.0,0.6666666666666666,0.8,2,0,1,3,2
11,0.6,0.75,0.6666666666666665,3,2,1,4,5
12,0.75,1.0,0.8571428571428571,3,1,0,3,4
13,1.0,0.75,0.8571428571428571,3,0,1,4,3
14,0.5,0.5,0.5,2,2,2,4,4
15,0.6666666666666666,1.0,0.8,2,1,0,2,3
