user_id,menu_name,relevance,kalori_target,kategori_lauk,sumber_karbo,deskripsi_preferensi
1,creamy chicken mushroom,1,395,ayam,nasi merah,rendah lemak panggang
1,chicken curry,1,395,ayam,nasi merah,rendah lemak panggang
1,ayam bakar padang,1,395,ayam,nasi merah,rendah lemak panggang
1,sempol ayam grill,1,395,ayam,nasi merah,rendah lemak panggang
1,sempol ayam grill,1,395,ayam,nasi merah,rendah lemak panggang
1,with brown rice box,0,395,ayam,nasi merah,rendah lemak panggang
1,torikatsu chicken ramen special,0,395,ayam,nasi merah,rendah lemak panggang
1,healthy japanese sushi roll,0,395,ayam,nasi merah,rendah lemak panggang
1,bola ayam saus asam pedas,0,395,ayam,nasi merah,rendah lemak panggang
1,salmon red thai curry yellowfit,0,395,ayam,nasi merah,rendah lemak panggang
1,thai coconut curry baby corn special,0,395,ayam,nasi merah,rendah lemak panggang
1,sei ayam with potatoes premium,0,395,ayam,nasi merah,rendah lemak panggang
1,opor susu legenda deluxe,0,395,ayam,nasi merah,rendah lemak panggang
1,ayam sambel geprek bowl,0,395,ayam,nasi merah,rendah lemak panggang
1,chicken teriyaki grill,0,395,ayam,nasi merah,rendah lemak panggang
1,indonesian beef bakso signature,0,395,ayam,nasi merah,rendah lemak panggang
1,beef yakiniku spesial,0,395,ayam,nasi merah,rendah lemak panggang
1,fish stick saus wijen premium,0,395,ayam,nasi merah,rendah lemak panggang
1,soto betawi ayam,0,395,ayam,nasi merah,rendah lemak panggang
1,pangsit ayam kuah premium,0,395,ayam,nasi merah,rendah lemak panggang
1,hamburg steak saus teriyaki,0,395,ayam,nasi merah,rendah lemak panggang
1,beef short ribs rendang signature,0,395,ayam,nasi merah,rendah lemak panggang
1,ayam asam manis healthy,0,395,ayam,nasi merah,rendah lemak panggang
1,sapi cabe garam bowl,0,395,ayam,nasi merah,rendah lemak panggang
1,ayam goreng kunyit chef s choice,0,395,ayam,nasi merah,rendah lemak panggang
2,gulai ikan,1,400,ikan,kentang,tanpa santan bumbu pedas
2,dori katsu balado,1,400,ikan,kentang,tanpa santan bumbu pedas
2,dori sambal ijo,1,400,ikan,kentang,tanpa santan bumbu pedas
2,ikan woku,1,400,ikan,kentang,tanpa santan bumbu pedas
2,dori chips saus asam manis,1,400,ikan,kentang,tanpa santan bumbu pedas
2,dori cabe garam bowl,0,400,ikan,kentang,tanpa santan bumbu pedas
2,khao soi noodle supreme,0,400,ikan,kentang,tanpa santan bumbu pedas
2,ayam maranggi,0,400,ikan,kentang,tanpa santan bumbu pedas
2,ayam sambel geprek,0,400,ikan,kentang,tanpa santan bumbu pedas
2,chicken soy garlic yangnyeom supreme,0,400,ikan,kentang,tanpa santan bumbu pedas
2,bola ayam saus asam pedas,0,400,ikan,kentang,tanpa santan bumbu pedas
2,dori katsu balado premium,0,400,ikan,kentang,tanpa santan bumbu pedas
2,rolade ayam,0,400,ikan,kentang,tanpa santan bumbu pedas
2,healthy fried chicken diet,0,400,ikan,kentang,tanpa santan bumbu pedas
2,dori salted egg bowl,0,400,ikan,kentang,tanpa santan bumbu pedas
2,japanese beef teriyaki bread supreme,0,400,ikan,kentang,tanpa santan bumbu pedas
2,chicken woku bowl,0,400,ikan,kentang,tanpa santan bumbu pedas
2,pizza fit chef s choice,0,400,ikan,kentang,tanpa santan bumbu pedas
2,soto ayam spesial diet,0,400,ikan,kentang,tanpa santan bumbu pedas
2,dori oat saus wijen,0,400,ikan,kentang,tanpa santan bumbu pedas
2,chicken ball crispy premium,0,400,ikan,kentang,tanpa santan bumbu pedas
2,indonesian beef bakso signature,0,400,ikan,kentang,tanpa santan bumbu pedas
2,chicken ball blackpepper box,0,400,ikan,kentang,tanpa santan bumbu pedas
2,chicken honey healthy,0,400,ikan,kentang,tanpa santan bumbu pedas
2,opor susu legenda deluxe,0,400,ikan,kentang,tanpa santan bumbu pedas
3,beef yakiniku,1,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,beef yakiniku,1,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,beef bulgogi,1,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,rawon surabaya,1,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,soto daging spesial,1,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken potatoes bowl,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,bola daging teriyaki,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken honey healthy,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken truffle meatballs signature,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,ayam cabe ijo lengkap,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,ayam cabe ijo,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,dori oat saus wijen,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken blackpepper lengkap,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken blackpepper bowl,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken blackpepper egg tortila,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,beef bulgogi healthy,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,salmon red thai curry yellowfit,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,opor susu legenda yellowfit,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,opor susu legenda chef s choice,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,grilled chicken sei sapi ayam penyet diet,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,beef short ribs rendang special,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,torikatsu chicken ramen chef s choice,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,cah buncis ayam,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken ball woku lengkap,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
3,chicken rolade,0,395,sapi,nasi putih,bumbu rempah korea yakiniku
4,chicken blackpepper,1,400,ayam,jagung,pedas lada hitam balado
4,chicken blackpepper,1,400,ayam,jagung,pedas lada hitam balado
4,chicken ball blackpepper,1,400,ayam,jagung,pedas lada hitam balado
4,bola ayam saus asam pedas,1,400,ayam,jagung,pedas lada hitam balado
4,chicken blackpepper egg tortila,1,400,ayam,jagung,pedas lada hitam balado
4,chicken bbq grill,0,400,ayam,jagung,pedas lada hitam balado
4,chicken patty crispy,0,400,ayam,jagung,pedas lada hitam balado
4,slow cooked beef signature,0,400,ayam,jagung,pedas lada hitam balado
4,mac diet panas special deluxe,0,400,ayam,jagung,pedas lada hitam balado
4,prawn cake thailand sauce,0,400,ayam,jagung,pedas lada hitam balado
4,kebab ayam,0,400,ayam,jagung,pedas lada hitam balado
4,beef patty kastu,0,400,ayam,jagung,pedas lada hitam balado
4,bola daging saus lada hitam diet,0,400,ayam,jagung,pedas lada hitam balado
4,with brown rice box,0,400,ayam,jagung,pedas lada hitam balado
4,baked chicken honey premium,0,400,ayam,jagung,pedas lada hitam balado
4,ayam maranggi spesial,0,400,ayam,jagung,pedas lada hitam balado
4,chicken crispy saus barbeque lengkap,0,400,ayam,jagung,pedas lada hitam balado
4,fish stick saus wijen,0,400,ayam,jagung,pedas lada hitam balado
4,healthy oseng mercon sapi yellowfit,0,400,ayam,jagung,pedas lada hitam balado
4,ayam asam manis healthy yellowfit,0,400,ayam,jagung,pedas lada hitam balado
4,baked chicken honey premium,0,400,ayam,jagung,pedas lada hitam balado
4,ayam serundeng sambal korek,0,400,ayam,jagung,pedas lada hitam balado
4,telur mata sapi balado special,0,400,ayam,jagung,pedas lada hitam balado
4,soto bandung,0,400,ayam,jagung,pedas lada hitam balado
4,beef short ribs rendang signature,0,400,ayam,jagung,pedas lada hitam balado
5,dori saus mentega,1,395,ikan,ubi,saus manis pedas korea
5,fish katsu saus manis pedas,1,395,ikan,ubi,saus manis pedas korea
5,fish stick saus wijen,1,395,ikan,ubi,saus manis pedas korea
5,dori oat saus wijen,1,395,ikan,ubi,saus manis pedas korea
5,dori salted egg,1,395,ikan,ubi,saus manis pedas korea
5,salmon red thai curry yellowfit,0,395,ikan,ubi,saus manis pedas korea
5,chicken herbs grill egg tortila bowl,0,395,ikan,ubi,saus manis pedas korea
5,bola daging saus lada hitam diet,0,395,ikan,ubi,saus manis pedas korea
5,buncis sapi lada hitam,0,395,ikan,ubi,saus manis pedas korea
5,chicken crispy saus barbeque lengkap,0,395,ikan,ubi,saus manis pedas korea
5,khao soi noodle supreme,0,395,ikan,ubi,saus manis pedas korea
5,ayam asam manis healthy,0,395,ikan,ubi,saus manis pedas korea
5,japanese beef gyudon with lemonilo premium,0,395,ikan,ubi,saus manis pedas korea
5,beef yakiniku spesial,0,395,ikan,ubi,saus manis pedas korea
5,ayam asam manis healthy yellowfit,0,395,ikan,ubi,saus manis pedas korea
5,chicken soy garlic yangnyeom yellowfit,0,395,ikan,ubi,saus manis pedas korea
5,ayam asam manis healthy chef s choice,0,395,ikan,ubi,saus manis pedas korea
5,slow cooked beef deluxe,0,395,ikan,ubi,saus manis pedas korea
5,daging ayam bowl,0,395,ikan,ubi,saus manis pedas korea
5,dori sambal matah healthy,0,395,ikan,ubi,saus manis pedas korea
5,with brown rice with potate wedges healthy,0,395,ikan,ubi,saus manis pedas korea
5,ayam goreng kunyit,0,395,ikan,ubi,saus manis pedas korea
5,udang saus blackpepper chef s choice,0,395,ikan,ubi,saus manis pedas korea
5,chicken tomyum,0,395,ikan,ubi,saus manis pedas korea
5,beef tofu teriyaki bowl,0,395,ikan,ubi,saus manis pedas korea
6,soto ayam kuning,1,400,ayam,kentang,kuah soto tanpa santan
6,soto ayam spesial,1,400,ayam,kentang,kuah soto tanpa santan
6,soto ayam spesial,1,400,ayam,kentang,kuah soto tanpa santan
6,opor ayam tanpa santan,1,400,ayam,kentang,kuah soto tanpa santan
